"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","euch_dist","cos_similarity","spearman","y"
"1",0.00282485875706215,0.0282485875706215,0.0169491525423729,0.00282485875706215,0.00282485875706215,0.0112994350282486,0,0.00282485875706215,0.00282485875706215,0.0112994350282486,0.0225988700564972,0.0112994350282486,0.00282485875706215,0.00282485875706215,0.0225988700564972,0.0056497175141243,0.00282485875706215,0.00282485875706215,0.00847457627118644,0.00282485875706215,0.0169491525423729,0.0141242937853107,0,0.00282485875706215,0.00282485875706215,0.00282485875706215,0.00847457627118644,0.0169491525423729,0.00847457627118644,0,0.00282485875706215,0.0423728813559322,0.0169491525423729,0,0.0141242937853107,0.00564971751412429,0.00564971751412429,0.00847457627118644,0.00847457627118644,0.0112994350282486,0.078995092961071,0.929195317755764,0.839834093128152,"s"
"2",0.00831024930747922,0.0329123433025025,0.0294849523451805,0.00852935192575551,0.00488285835015728,0.002715307447924,0.00581404447783151,0.00597837144153873,0.00342739095732194,0.0141790694398798,0.0275912797157926,0.0273721770975163,0.000492980891121649,5.47756545690721e-05,0.0130835563484984,0.0104230245551434,0.002715307447924,0.00570449316869337,0.0117924159193702,5.47756545690721e-05,0.0193358060628825,0.00625224971438409,0.002715307447924,0.00277008310249307,0.00863890323489366,0.0113542106828177,0.0285224658434668,0.0226536457110662,0.00115028874595052,0.00266053179335493,0.00776249276178851,0.0272313254143387,0.0171134795060801,0.00392037184844359,0.0105873515188507,0.00287963441163122,0.00381082053930544,0.000328653927414432,0.00918665978058437,0.00625224971438409,0.0878221285294669,0.915020348312016,0.744882471603243,"s"
"3",0.0106007067137809,0.0219201054081572,0.0198239204647541,0.000698728314467668,0.00497095286578427,0.000708710147531493,0.00705715597612346,0.0021361122756583,0.0120380906749716,0.0169491525423729,0.00211614860953065,0.0183865365035635,0.0148230220997784,0.000708710147531493,0.00774590245752731,0.0191052284841588,0.000708710147531493,0.00140743846199916,0.00492104370046516,0.0183765546704997,0.0113094168613124,0.0155217504142461,0.00282485875706215,0,0.00634844582859196,0.00705715597612346,0.0176378990237767,0.00637839132778343,0.0133856381385878,0.00211614860953065,1.99636661276474e-05,0.00556986284961371,0.00775588429059113,0.0275199137569623,0.0134455291369707,0.00211614860953065,0.0324709029566189,0.0148529675989699,0.00279491325787067,0.023347507536284,0.0819408426937026,0.926346679347299,0.770241535370183,"s"
"4",0.00727272727272727,0.0121417565485362,0.00733436055469953,0.00402670775552131,0.0170107858243451,0.000811504879301489,0.000421160760143811,0.0174011299435028,0.0024653312788906,0.0169491525423729,0.00525937339496662,0.0521417565485362,0.010939907550077,0.00282485875706215,0.010457113507961,0.0279198767334361,0.00282485875706215,0.00120184899845917,0.00691319979455573,0.00282485875706215,0.0117205957883924,0.0185413456599897,0.00282485875706215,0,0.0121417565485362,0.00321520287621982,0.0278274268104777,0.0181510015408321,0.0120493066255778,0.00162300975860298,0.0137031330251669,0.00228043143297381,0.0217873651771957,0.00249614791987673,0.0217873651771957,0.00525937339496662,0.00276322547508988,0.00850539291217257,0.00519774011299435,0.0185413456599897,0.0922517627468519,0.911738132197778,0.752575861193811,"s"
"5",0.0152671755725191,0.00976840470953552,0.0331220080217363,0.0112994350282486,0.0033639539397076,0.000991935136067624,0.00877646957346789,0.000301893302281451,0.0148143356190969,0.0131323586492431,0.00580066416526502,0.051753137533963,0.0216069349204296,0.00480872902919739,0.00625350411868719,0.0424375727778497,0.00282485875706215,0.000840988484926899,0.00237201880363997,0.000991935136067624,0.00480872902919739,0.00237201880363997,0.000991935136067624,0,0.00931556475611334,0.00495967568033812,0.0271057057834131,0.0101565532410402,0.00207012550135852,0.00564971751412429,0.00916461810497261,0.0187605123560616,0.0254237288135593,0.00588691939448829,0.01397334713417,0.00564971751412429,0.0116875835597533,0.00549877086298357,0.00702980118169664,0.0014447750894898,0.0983343282373258,0.911282442554809,0.758506616257089,"s"
"21",0.00548539055041708,0.004663755731881,0.0125357998028076,0.00570449316869337,0.00770771710721943,0.00858412758032458,0.00581404447783151,0.00315351268447658,0.00625224971438409,0.00287963441163122,0.00499240965929543,0.0160727420692677,0.0023318778659405,0.00287963441163122,0.00951531370799882,0.00477330704101914,0.000109551309138144,0.00287963441163122,0.00331783964818379,0.00287963441163122,0.00238665352050957,0.00787204407092665,0.002715307447924,5.47756545690721e-05,0.00581404447783151,0.00852935192575551,0.0200478895722804,0.00570449316869337,0.00732428752523592,0.00266053179335493,0.0105873515188507,0.0151415559415935,0.000164326963707216,0.00392037184844359,0.00353694226646008,0.00277008310249307,0.00183889697481885,0.00814592234377201,0.000712083509397936,0.0175516847426327,0.0483290115751942,0.974051273114628,0.905657739224006,"s"
"22",0.00777584795671877,0.00632848216246432,0.00287476792238127,0.00212613044259448,0.00779581162284642,0.0105907248807171,0.00705715597612346,0.00496097103272045,0.0092132319179094,0.00564971751412429,0.0247150186660278,0.00708710147531493,0.0119981633427163,0.00211614860953065,0.0303447725140245,0.0134555109700345,0.00211614860953065,0.00141742029506299,0.00355353257072128,0.0155516959134375,0.00563973568106047,0.00139745662893534,0.00282485875706215,0.00282485875706215,0.00352358707152981,0.00423229721906131,0.00916332275259029,0.0233275438701563,0.00491106186740133,0.00211614860953065,0.00284482242318979,0.0368030185063185,0.00919326825178176,0.0275199137569623,0.000678764648340026,0.00353356890459364,0.0268211854424947,0.0233275438701563,0.00567966301331577,0.0120480725080354,0.0839338220131733,0.919983066327102,0.809681626040024,"s"
"23",0.00444786851566513,0.0161068310220853,0.00961479198767334,0.00120184899845917,0.0198356445814073,0.0104879301489471,0.000421160760143811,0.020225988700565,0.000359527478171549,0.00564971751412429,0.0173394966615306,0.0408423215202876,0.0137647663071392,0.00564971751412429,0.0330559835644581,0.0222701592193118,0.00564971751412429,0.00162300975860298,0.0153877760657422,0.00564971751412429,0.00522855675398048,0.00441705187467899,0.00282485875706215,0.00282485875706215,0.0149666153055984,0.000390344119157678,0.0193528505392912,0.00120184899845917,0.00357473035439138,0.00162300975860298,0.0108782742681048,0.0400924499229584,0.0048382126348228,0.00249614791987673,0.0359116589625064,0.0109090909090909,0.00288649203903441,0.016979969183359,0.00327683615819209,0.0298407806882383,0.102177155254173,0.889354333135933,0.781214930974056,"s"
"24",0.0124423168154569,0.018480182861086,0.0161728554793634,0.00847457627118644,0.000539095182645451,0.010307499892181,0.00877646957346789,0.0031267520593436,0.0176391943761591,0.00183292362099452,0.0167982058912322,0.0404537025057144,0.0187820761633674,0.00198387027213525,0.01634536593781,0.0367878552637254,0.00564971751412429,0.00198387027213525,0.00610255746754647,0.00183292362099452,0.0121404235131755,0.0117522749816708,0.000991935136067624,0.00282485875706215,0.00649070599905119,0.00778453443740027,0.0186311295122267,0.00679259930133264,0.00640445076982792,0.00564971751412429,0.00633975934791047,0.0611333937119938,0.00847457627118644,0.00588691939448829,0.0280976409194807,0,0.00603786604562902,0.00297580540820287,0.0014447750894898,0.00985465993875879,0.104839141812355,0.899721578243541,0.825998976222352,"s"
"31",0.00229045740630169,0.0109922378943453,0.00966103188042637,0.00783062361128785,8.80945156269894e-05,0.00200659730039251,0.00124311149829195,0.00811448371719703,0.0154654816322935,0.00277008310249307,0.0297074283253233,0.0089856405939528,0.0143300412086568,0.000763485802100565,0.0208294588060257,0.0086822039290154,0.00200659730039251,0.0042970547066942,0.00687137221890508,0.0184313303250688,0.00802638920157004,0.00926950069986198,0.00554016620498615,0.00277008310249307,0.00229045740630169,0.0042970547066942,0.0108845668196901,0.0290320370388497,0.0122353493926373,0.00477668040288559,0.00774252909566086,0.021661462564725,0.00935759521548897,0.0235995419085187,0.00285817761812006,0.000763485802100565,0.0286600824173135,0.0151816215263843,0.0063917465227137,0.029599757250668,0.0847612106871627,0.920898777723727,0.761543392361543,"s"
