"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","euch_dist","cos_similarity","spearman","y"
"1",0.00332797944105365,0.00977834885962094,0.0124895599100546,0.00332797944105365,0.0120398329585609,0.000102794731769997,0.00747831673626727,0.0152650176678445,0.00957275939608095,0,0.00737552200449727,0.0337552200449727,0.0257629296498554,0.00353356890459364,0.00271121105043366,0.00881464824927723,0.00353356890459364,0.000205589463539994,0.0118342434950209,0.0212014134275618,0.000411178927079987,0.00301959524574366,0,0,0.0184902023771282,0.00384195309990363,0.0101895277867009,0.0245293928686155,0.00133633151300996,0.00373915836813363,0.0137230966912946,0.0032894314166399,0.0140314808866046,0.0300160616768391,0.0352328943141664,0.00737552200449727,0.0297076774815291,0.0063475746867973,0.00240282685512368,0.0418888531962737,0.0985886136996741,0.899089869641994,0.739872371424577,"s"
"2",0.00466646885873816,0.0121517006986216,0.0132980875569822,0.0106007067137809,0.00833490680549187,0.000283224988536131,0.0158336255495913,0.00183421897337685,0.0268524262940685,0.00381679389312977,0.00791681277479567,0.0333666010303995,0.00678391282065115,0.0041000188816659,0.0139994065762145,0.0233323442936908,0.00353356890459364,0.000566449977072263,0.00254902489682519,0.0173846195344321,0.00650068783211502,0.0131497316106061,0.00381679389312977,0,0.00296711892752138,0.0120168316564616,0.00946780675963639,0.0165349445688237,0.0113155126372292,0.00353356890459364,0.00918458177110026,0.0243303752056753,0.0176678445229682,0.021632994362474,0.0274188762711407,0.00353356890459364,0.0207833193968656,0.0203517384619534,0.00423488792382597,0.0219027324467942,0.0909379497448174,0.925007100473998,0.787871634332694,"s"
"21",0.00799444829979181,0.00237335183900069,0.0257876474670368,0.00727272727272727,0.0203747397640527,0.000180430256766134,0.00835530881332408,0.0170992366412214,0.0172796668979875,0.00381679389312977,0.000541290770298403,0.00038861901457321,0.0325468424705066,0.00763358778625954,0.0167106176266482,0.0145176960444136,0,0.000360860513532269,0.0092852185981957,0.00381679389312977,0.006911866759195,0.0161693268563498,0.00381679389312977,0,0.0214573213046496,0.00817487855655795,0.000721721027064538,0.00799444829979181,0.00997918112421929,0.00727272727272727,0.00453851492019431,0.0210409437890354,0.00363636363636364,0.00838306731436503,0.00781401804302568,0.0109090909090909,0.00892435808466343,0.0140041637751561,0.00183206106870229,0.0199861207494795,0.0778477795802873,0.945325611882942,0.832262032265391,"s"
"4",0,0,0.00384615384615385,0.00383130383130383,0.00769230769230769,0.00386100386100386,0.00417285417285417,0.0197356697356697,0.0310662310662311,0,0,0,0.00772200772200772,0.00769230769230769,0.00384615384615385,0,1.48500148500147e-05,0.0235966735966736,0.00381645381645382,0.0116127116127116,0.00386100386100386,0.00769230769230769,1.48500148500147e-05,0.00769230769230769,0.00384615384615385,0.018963468963469,0.00400950400950401,0.00386100386100386,0.00769230769230769,0.00378675378675379,0.00445500445500444,0.0152064152064152,0.0077962577962578,0.00384615384615385,0.0153549153549154,0.00773685773685774,0,0.0191268191268191,0.000297000297000291,0.000118800118800118,0.0625760842730969,0.979249834375135,0.776739826467981,"s"
"41",0.00754716981132075,0.00377358490566038,0.00384615384615385,0.0111756168359942,0.000145137880986938,0,0.00979680696661828,0.0021044992743106,0.0142235123367199,0,0,0,0,0.00362844702467344,0.00384615384615385,0,7.2568940493469e-05,0.0285195936139332,0.000217706821480408,0.000145137880986938,0,0.00391872278664732,0.00384615384615385,0.00391872278664732,0.00384615384615385,0.00921625544267055,0.0219158200290276,0.00754716981132075,0.00391872278664732,0.00718432510885341,0.025544267053701,0.00493468795355588,0.0222786647314949,0.00370101596516691,0.000435413642960816,0.00370101596516691,0,0.0235123367198839,0.00609579100145137,0.000580551523947752,0.0624147734451664,0.976208859127256,0.893750104897889,"s"
"5",0.00754716981132075,0.00377358490566038,0,0.015006920667298,0.00754716981132075,0.00386100386100386,0.00562395279376411,0.0218401690099803,0.0168427187295112,0,0,0,0.00772200772200772,0.0113207547169811,0,0,8.74189553434837e-05,0.0521162672106068,0.00359874699497341,0.0117578494936985,0.00386100386100386,0.00377358490566038,0.00386100386100386,0.00377358490566038,0,0.00974721352079842,0.0179063160195236,0.00368616595031689,0.00377358490566038,0.0109710788956072,0.0299992715087055,0.0102717272528593,0.0144824069352371,0.00754716981132075,0.0149195017119545,0.00403584177169083,0,0.00438551759306477,0.00579879070445108,0.00069935164274787,0.0800137271709383,0.967778311905344,0.81316472061132,"s"
"7",0.000110015842281289,0.0129928709734202,0.0101984685794754,0.00646893152613976,0.00575382855131139,0.00668896321070234,0.00345449744763246,0.0168874317901778,0.00926333392008449,5.50079211406444e-05,0.000110015842281289,0.00685398697412427,0.00356451328991375,0.000220031684562578,0.00630390776271783,0.00734905826439007,0.00334448160535117,0.0131028868157015,0.0104735081851787,0.000165023763421934,0.0131028868157015,0.019296778736138,0.00323446576306988,0.00328947368421053,0.0196268262629819,0.0128278472099982,0.00575382855131139,0.00635891568385847,0.0140380214750924,0.00657894736842105,0.015457225840521,0.02851610631931,0.000220031684562578,0.00734905826439007,0.020837000528076,0.000110015842281289,0.000275039605703221,0.0123327759197324,0.0138179897905298,0.0171074634747404,0.0694741429094016,0.951805944235461,0.830899404077056,"s"
"71",0.000174305230246315,0.00299587114485854,0.000522915690738947,0.000174305230246315,0.0117220267340647,0.00668896321070234,0.000261457845369474,0.0234985238525813,0.000958678766354734,0.00317017637510486,0.00634035275020971,0.0102077500462998,0.00282156591461222,0.00290871852973538,0.0125935528852963,0.0207641105530923,0.00334448160535117,0.0227141503164729,0.00747333674681076,0.0067761158258255,8.71526151231573e-05,0.00581743705947077,0.00642750536533287,0.00977198697068404,0.00634035275020971,0.00273441329948907,0.00130728922684736,0.0126807055004194,0.00790909982242655,0.00977198697068404,0.0082032398984672,0.00674343359515431,0.00616604751996339,0.0207641105530923,0.0278016842242873,0.000174305230246315,0.0125935528852963,0.0117220267340647,0.0140751473423899,0.00221149760875012,0.0672823639295018,0.954852985465509,0.798384630493443,"s"
"8",6.42893879650259e-05,0.00999699982856163,0.0096755528887365,0.00664323675638608,0.0059681981827533,0,0.00319303960226299,0.00661109206240357,0.0102220126864392,0.0032251842962455,0.006450368592491,0.00335376307217555,0.00638607920452597,0.00312875021429796,0.00628964512257843,0.0134150522887022,0,0.00961126350077147,0.00300017143836791,0.00661109206240357,0.0131900394308246,0.0134793416766672,0.00319303960226299,0.00648251328647351,0.0132864735127722,0.0100934339105092,0.00706111777815875,0.00632178981656095,0.00612892165266587,0.00319303960226299,0.00725398594205383,0.0217726727241557,0.00638607920452597,0.0134150522887022,0.00696468369621121,6.42893879650259e-05,0.0128685924909995,0.000610749185667753,0.000257157551860104,0.0193189610834905,0.0554004244749645,0.967290897900588,0.866770664342153,"s"
"10",0.000540357987166498,0.00195879770347855,0.0170212765957447,0.00580884836203985,0.0114826072272881,0.000540357987166498,0.0239108409321175,0.0480918608578183,0.00425531914893617,0.0027693346842283,0.0132387706855792,0.0136440391759541,0.00580884836203985,0.00303951367781155,0.00797028031070585,0.0108747044917258,0,0.00979398851739277,0.0161431948665991,0.00911854103343465,0.0033096926713948,0.0195879770347855,0.0120229652144546,0,0.00729483282674772,0.00148598446470787,0.0168186423505572,0.0033096926713948,0.0044579533941236,0.000135089496791624,0.0204660587639311,0.0136440391759541,0.0117527862208713,0.0943600135089497,0.0152651131374536,0,0.00526849037487335,0.0164809186085782,0.0038500506585613,0.00121580547112462,0.124498695717758,0.856109981477062,0.76787653575743,"s"
