"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","euch_dist","cos_similarity","spearman","y"
"1",0.0363636363636364,0.000940438871473354,0.0363636363636364,0.0172413793103448,0.0373040752351097,0.0181818181818182,0.000940438871473354,0.000940438871473354,0.0373040752351097,0,0.00376175548589341,0.00376175548589341,0.0210031347962382,0,0.0373040752351097,0.00188087774294671,0.0181818181818182,0.0335423197492163,0.0153605015673981,0,0.0172413793103448,0.0153605015673981,0,0,0.0172413793103448,0.0172413793103448,0,0.0172413793103448,0.0335423197492163,0,0.0172413793103448,0.0978056426332288,0,0.0335423197492163,0.0191222570532915,0.0181818181818182,0.0200626959247649,0.0191222570532915,0.000940438871473354,0.000940438871473354,0.156904615553192,0.821047955034238,0.589089254592199,"s"
"2",0,0.0181818181818182,0.0181818181818182,0,0.0181818181818182,0.0181818181818182,0,0.0181818181818182,0.0181818181818182,0,0.0545454545454545,0,0.0181818181818182,0,0.0363636363636364,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.0181818181818182,0,0,0,0,0,0.0181818181818182,0,0.0181818181818182,0.0181818181818182,0.0363636363636364,0,0.0181818181818182,0.0909090909090909,0,0.0181818181818182,0,0.0181818181818182,0.0363636363636364,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.147709789175199,0.845299208722333,0.694819365079589,"s"
"21",0.0363636363636364,0.0191222570532915,0.0545454545454545,0.0172413793103448,0.0554858934169279,0,0.000940438871473354,0.0172413793103448,0.0554858934169279,0,0.0507836990595611,0.00376175548589341,0.00282131661442006,0,0.000940438871473354,0.0163009404388715,0,0.0517241379310345,0.0335423197492163,0,0.0172413793103448,0.0153605015673981,0,0,0.000940438871473354,0.0172413793103448,0.0181818181818182,0.000940438871473354,0.00282131661442006,0,0.000940438871473354,0.00689655172413792,0,0.0153605015673981,0.0191222570532915,0,0.0163009404388715,0.000940438871473354,0.0191222570532915,0.0172413793103448,0.144341623857795,0.862826425951266,0.533647561282602,"s"
"4",0.0196078431372549,0.0196078431372549,0,0,0,0,0.0196078431372549,0.0177224736048266,0.0180995475113122,0.0192307692307692,0,0,0,0,0,0.0192307692307692,0.0196078431372549,0.0373303167420815,0.0784313725490196,0.0192307692307692,0,0.0196078431372549,0,0.00037707390648567,0,0.0173453996983409,0.057315233785822,0.00037707390648567,0,0.0196078431372549,0.0757918552036199,0.0180995475113122,0.0380844645550528,0,0.0392156862745098,0.00037707390648567,0,0.0788084464555053,0.0218702865761689,0.00037707390648567,0.175894368063081,0.808402662811265,0.630336758721916,"s"
"41",0,0,0,0,0.02,0,0.06,0.0561538461538462,0.0230769230769231,0.0192307692307692,0,0,0,0.02,0,0.0192307692307692,0.04,0.0438461538461539,0,0.0192307692307692,0,0,0,0.0192307692307692,0,0.0553846153846154,0.0430769230769231,0.0192307692307692,0,0,0.0546153846153846,0.0630769230769231,0.0376923076923077,0,0.02,0.0192307692307692,0,0.0192307692307692,0.0153846153846154,0.0207692307692308,0.169027850371421,0.842560819960472,0.613037312603113,"s"
"5",0.0196078431372549,0.0196078431372549,0,0,0.02,0,0.0403921568627451,0.0384313725490196,0.0411764705882353,0,0,0,0,0.02,0,0,0.0203921568627451,0.0811764705882353,0.0784313725490196,0,0,0.0196078431372549,0,0.0196078431372549,0,0.0380392156862745,0.100392156862745,0.0196078431372549,0,0.0196078431372549,0.0211764705882353,0.0811764705882353,0.000392156862745099,0,0.0192156862745098,0.0196078431372549,0,0.0980392156862745,0.0372549019607843,0.0203921568627451,0.227597653857685,0.691039009001041,0.601254320113071,"s"
"7",0.0178571428571429,0.0321428571428571,0,0.00119047619047619,0.030952380952381,0.00119047619047619,0.0333333333333333,0.00119047619047619,0.030952380952381,0.0178571428571429,0.0178571428571429,0.0535714285714286,0.0178571428571429,0.0166666666666667,0.030952380952381,0.0380952380952381,0,0,0.0357142857142857,0.00119047619047619,0.0178571428571429,0.00357142857142857,0,0,0.00119047619047619,0.00119047619047619,0.00119047619047619,0.00238095238095238,0.0142857142857143,0,0.0321428571428571,0.00833333333333333,0.0178571428571429,0.0202380952380952,0.0535714285714286,0.0166666666666667,0.0654761904761905,0.00476190476190476,0.00119047619047619,0.0333333333333333,0.152055083109115,0.785372129617954,0.454670173835062,"s"
"71",0,0.0172131147540984,0.0327868852459016,0.000273224043715846,0.0174863387978142,0.0166666666666667,0.0169398907103825,0.000273224043715846,0.0502732240437158,0,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0166666666666667,0.033879781420765,0.0169398907103825,0,0.0163934426229508,0.0163934426229508,0.0166666666666667,0.0163934426229508,0.000819672131147545,0,0.0163934426229508,0.000273224043715846,0.0489071038251366,0.0489071038251366,0.0169398907103825,0.0336065573770492,0,0.0336065573770492,0.0636612021857924,0,0.0333333333333333,0.0327868852459016,0.0166666666666667,0.0341530054644809,0.00109289617486338,0.016120218579235,0.0169398907103825,0.160669677102418,0.788016323944406,0.424740867642863,"s"
"8",0.0178571428571429,0.0149297423887588,0.0327868852459016,0.00146370023419204,0.0134660421545667,0.0178571428571429,0.0163934426229508,0.00146370023419204,0.0193208430913349,0.0178571428571429,0.00146370023419204,0.0207845433255269,0.0149297423887588,0,0.00292740046838407,0.0550351288056206,0,0.0163934426229508,0.0193208430913349,0.0178571428571429,0.00146370023419204,0.00439110070257611,0,0.0163934426229508,0.00146370023419204,0.0477166276346604,0.0477166276346604,0.0193208430913349,0.0193208430913349,0,0.00146370023419204,0.055327868852459,0.0178571428571429,0.0535714285714286,0.0207845433255269,0,0.0313231850117096,0.00585480093676814,0.0149297423887588,0.0163934426229508,0.146701615032876,0.818219132380699,0.44703505993495,"s"
"10",0.0174603174603175,0.0412698412698413,0.0126984126984127,0,0,0.0285714285714286,0,0.0142857142857143,0.0126984126984127,0,0.0634920634920635,0.00317460317460317,0.0158730158730159,0,0.0682539682539683,0.0317460317460317,0,0.00158730158730159,0.0428571428571429,0.0142857142857143,0,0.0222222222222222,0,0,0,0.00317460317460317,0.0476190476190476,0.0142857142857143,0.019047619047619,0.0142857142857143,0,0.0428571428571428,0.0142857142857143,0.0333333333333333,0.00634920634920635,0.0158730158730159,0.019047619047619,0.0412698412698413,0.0174603174603175,0.0412698412698413,0.162526041094225,0.835044504700922,0.525887825189455,"s"
