"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","euch_dist","cos_similarity","spearman","y"
"1",0.00282485875706215,0.0282485875706215,0.0169491525423729,0.00282485875706215,0.00282485875706215,0.0112994350282486,0,0.00282485875706215,0.00282485875706215,0.0112994350282486,0.0225988700564972,0.0112994350282486,0.00282485875706215,0.00282485875706215,0.0225988700564972,0.0056497175141243,0.00282485875706215,0.00282485875706215,0.00847457627118644,0.00282485875706215,0.0169491525423729,0.0141242937853107,0,0.00282485875706215,0.00282485875706215,0.00282485875706215,0.00847457627118644,0.0169491525423729,0.00847457627118644,0,0.00282485875706215,0.0423728813559322,0.0169491525423729,0,0.0141242937853107,0.00564971751412429,0.00564971751412429,0.00847457627118644,0.00847457627118644,0.0112994350282486,0.078995092961071,0.929195317755764,0.839834093128152,"s"
"2",0.00831024930747922,0.0329123433025025,0.0294849523451805,0.00852935192575551,0.00488285835015728,0.002715307447924,0.00581404447783151,0.00597837144153873,0.00342739095732194,0.0141790694398798,0.0275912797157926,0.0273721770975163,0.000492980891121649,5.47756545690721e-05,0.0130835563484984,0.0104230245551434,0.002715307447924,0.00570449316869337,0.0117924159193702,5.47756545690721e-05,0.0193358060628825,0.00625224971438409,0.002715307447924,0.00277008310249307,0.00863890323489366,0.0113542106828177,0.0285224658434668,0.0226536457110662,0.00115028874595052,0.00266053179335493,0.00776249276178851,0.0272313254143387,0.0171134795060801,0.00392037184844359,0.0105873515188507,0.00287963441163122,0.00381082053930544,0.000328653927414432,0.00918665978058437,0.00625224971438409,0.0878221285294669,0.915020348312016,0.744882471603243,"s"
"3",0.0363636363636364,0.0012326656394453,0.0144838212634823,0.0112994350282486,0.0206471494607088,0.015356959424756,0.00405752439650745,0.00441705187467899,0.0206471494607088,0.0169491525423729,0.0670775552131484,0.0557781201848998,0.0473035439137134,0.00282485875706215,0.0149974319465845,0.0024653312788906,0.015356959424756,0.00970724191063174,0.000359527478171549,0.00282485875706215,0.00282485875706215,0.000359527478171549,0.00282485875706215,0,0.0169491525423729,0.0141242937853107,0.0423728813559322,0.0254237288135593,0.0411402157164869,0.00564971751412429,0.0282485875706215,0.00955315870570109,0.0254237288135593,0.0411402157164869,0.010939907550077,0.0125321006676939,0.000873138161273754,0.0194144838212635,0.0270159219311762,0.0185413456599897,0.152064710695906,0.766270869459766,0.413001067556132,"s"
"4",0,0.000292226767971946,0.0508474576271186,0.00594194428209624,0.0166569257744009,0.00282485875706215,0.00311708552503409,0.00535749074615235,0.0166569257744009,0.0169491525423729,0.063315799727255,0.0520163646990064,0.0263004091174752,0.00282485875706215,0.0223066432885252,0.000584453535943892,0.00282485875706215,0.043249561659848,0.0150009740892266,0.00282485875706215,0.0144165205532827,0.0150009740892266,0.00282485875706215,0,0.000292226767971946,0.00311708552503409,0.0423728813559322,0.0081823495032145,0.0075978959672706,0.00564971751412429,0.0110072082602766,0.0882524839275278,0.0254237288135593,0.0075978959672706,0.0081823495032145,0.00564971751412429,0.0191895577634911,0.000292226767971946,0.0279563608026495,0.0194817845314631,0.161795897987378,0.808909836116468,0.504715072501101,"s"
"5",0.0363636363636364,0.0194144838212635,0.0036979969183359,0.0112994350282486,0.038828967642527,0.00282485875706215,0.00405752439650745,0.0225988700564972,0.038828967642527,0.0169491525423729,0.0125321006676939,0.0557781201848998,0.0291217257318952,0.00282485875706215,0.0213662044170519,0.0157164869029276,0.00282485875706215,0.00847457627118644,0.0185413456599897,0.00282485875706215,0.00282485875706215,0.000359527478171549,0.00282485875706215,0,0.0012326656394453,0.0141242937853107,0.024191063174114,0.00724191063174114,0.00477657935285054,0.00564971751412429,0.0100667693888033,0.0813559322033898,0.0254237288135593,0.0229583975346687,0.010939907550077,0.00564971751412429,0.0354904982023626,0.0012326656394453,0.00883410374935799,0.0367231638418079,0.150267038143922,0.842128764808522,0.617496881385536,"s"
"6",0.0106007067137809,0.0219201054081572,0.0198239204647541,0.000698728314467668,0.00497095286578427,0.000708710147531493,0.00705715597612346,0.0021361122756583,0.0120380906749716,0.0169491525423729,0.00211614860953065,0.0183865365035635,0.0148230220997784,0.000708710147531493,0.00774590245752731,0.0191052284841588,0.000708710147531493,0.00140743846199916,0.00492104370046516,0.0183765546704997,0.0113094168613124,0.0155217504142461,0.00282485875706215,0,0.00634844582859196,0.00705715597612346,0.0176378990237767,0.00637839132778343,0.0133856381385878,0.00211614860953065,1.99636661276474e-05,0.00556986284961371,0.00775588429059113,0.0275199137569623,0.0134455291369707,0.00211614860953065,0.0324709029566189,0.0148529675989699,0.00279491325787067,0.023347507536284,0.0819408426937026,0.926346679347299,0.770241535370183,"s"
"7",0.00727272727272727,0.0121417565485362,0.00733436055469953,0.00402670775552131,0.0170107858243451,0.000811504879301489,0.000421160760143811,0.0174011299435028,0.0024653312788906,0.0169491525423729,0.00525937339496662,0.0521417565485362,0.010939907550077,0.00282485875706215,0.010457113507961,0.0279198767334361,0.00282485875706215,0.00120184899845917,0.00691319979455573,0.00282485875706215,0.0117205957883924,0.0185413456599897,0.00282485875706215,0,0.0121417565485362,0.00321520287621982,0.0278274268104777,0.0181510015408321,0.0120493066255778,0.00162300975860298,0.0137031330251669,0.00228043143297381,0.0217873651771957,0.00249614791987673,0.0217873651771957,0.00525937339496662,0.00276322547508988,0.00850539291217257,0.00519774011299435,0.0185413456599897,0.0922517627468519,0.911738132197778,0.752575861193811,"s"
"8",0.0152671755725191,0.00976840470953552,0.0331220080217363,0.0112994350282486,0.0033639539397076,0.000991935136067624,0.00877646957346789,0.000301893302281451,0.0148143356190969,0.0131323586492431,0.00580066416526502,0.051753137533963,0.0216069349204296,0.00480872902919739,0.00625350411868719,0.0424375727778497,0.00282485875706215,0.000840988484926899,0.00237201880363997,0.000991935136067624,0.00480872902919739,0.00237201880363997,0.000991935136067624,0,0.00931556475611334,0.00495967568033812,0.0271057057834131,0.0101565532410402,0.00207012550135852,0.00564971751412429,0.00916461810497261,0.0187605123560616,0.0254237288135593,0.00588691939448829,0.01397334713417,0.00564971751412429,0.0116875835597533,0.00549877086298357,0.00702980118169664,0.0014447750894898,0.0983343282373258,0.911282442554809,0.758506616257089,"s"
"21",0.00548539055041708,0.004663755731881,0.0125357998028076,0.00570449316869337,0.00770771710721943,0.00858412758032458,0.00581404447783151,0.00315351268447658,0.00625224971438409,0.00287963441163122,0.00499240965929543,0.0160727420692677,0.0023318778659405,0.00287963441163122,0.00951531370799882,0.00477330704101914,0.000109551309138144,0.00287963441163122,0.00331783964818379,0.00287963441163122,0.00238665352050957,0.00787204407092665,0.002715307447924,5.47756545690721e-05,0.00581404447783151,0.00852935192575551,0.0200478895722804,0.00570449316869337,0.00732428752523592,0.00266053179335493,0.0105873515188507,0.0151415559415935,0.000164326963707216,0.00392037184844359,0.00353694226646008,0.00277008310249307,0.00183889697481885,0.00814592234377201,0.000712083509397936,0.0175516847426327,0.0483290115751942,0.974051273114628,0.905657739224006,"s"
"22",0.0335387776065742,0.0270159219311762,0.0314329738058552,0.00847457627118644,0.0234720082177709,0.00405752439650745,0.00405752439650745,0.00159219311761685,0.0178222907036466,0.00564971751412429,0.0444786851566513,0.0444786851566513,0.0501284026707755,0.00564971751412429,0.00760143810991269,0.0031843862352337,0.0125321006676939,0.0125321006676939,0.00811504879301489,0.00564971751412429,0.019774011299435,0.0137647663071392,0.00282485875706215,0.00282485875706215,0.0141242937853107,0.0112994350282486,0.0338983050847458,0.00847457627118644,0.0326656394453005,0.00564971751412429,0.0254237288135593,0.0328197226502311,0.00847457627118644,0.0411402157164869,0.0031843862352337,0.0181818181818182,0.00652285567539804,0.0278890600924499,0.0185413456599897,0.0298407806882383,0.14127434865746,0.792811814787764,0.550883127388493,"s"
