"run_number","dataset","train_prompt","test_prompt","train_n","test_n","distances","rf_ntrees","fnr","fpr","auc"
1,"CSAFE","pLND","pLND",70,30,"manhattan + euclidean + maximum",200,0.0888888888888889,0.0166666666666667,0.953765432098765
2,"CSAFE","pLND","pLND",70,30,"manhattan + euclidean + maximum",200,0.0222222222222222,0.0611111111111111,0.955771604938272
3,"CSAFE","pLND","pLND",70,30,"manhattan + euclidean + maximum",200,0.0777777777777778,0.0333333333333333,0.96070987654321
4,"CSAFE","pLND","pLND",70,30,"manhattan + euclidean + maximum",200,0.0777777777777778,0.0444444444444444,0.952407407407407
5,"CSAFE","pLND","pLND",70,30,"manhattan + euclidean + maximum",200,0.111111111111111,0.0111111111111111,0.938981481481482
1,"CSAFE","pLND","pPHR",70,30,"manhattan + euclidean + maximum",200,0.977777777777778,0,0.511111111111111
2,"CSAFE","pLND","pPHR",70,30,"manhattan + euclidean + maximum",200,0.944444444444444,0,0.533333333333333
3,"CSAFE","pLND","pPHR",70,30,"manhattan + euclidean + maximum",200,0.944444444444444,0,0.527777777777778
4,"CSAFE","pLND","pPHR",70,30,"manhattan + euclidean + maximum",200,0.944444444444444,0,0.538888888888889
5,"CSAFE","pLND","pPHR",70,30,"manhattan + euclidean + maximum",200,0.944444444444444,0,0.533333333333333
1,"CSAFE","pLND","pWOZ",70,30,"manhattan + euclidean + maximum",200,0.122222222222222,0.0222222222222222,0.938179012345679
2,"CSAFE","pLND","pWOZ",70,30,"manhattan + euclidean + maximum",200,0.0777777777777778,0.0222222222222222,0.945216049382716
3,"CSAFE","pLND","pWOZ",70,30,"manhattan + euclidean + maximum",200,0.122222222222222,0.0111111111111111,0.936697530864198
4,"CSAFE","pLND","pWOZ",70,30,"manhattan + euclidean + maximum",200,0.0888888888888889,0,0.955555555555555
5,"CSAFE","pLND","pWOZ",70,30,"manhattan + euclidean + maximum",200,0.111111111111111,0.0166666666666667,0.953364197530864
1,"CSAFE","pLND","pCMB",70,30,"manhattan + euclidean + maximum",200,0.0222222222222222,0.0388888888888889,0.987191358024691
2,"CSAFE","pLND","pCMB",70,30,"manhattan + euclidean + maximum",200,0,0.0777777777777778,0.935216049382716
3,"CSAFE","pLND","pCMB",70,30,"manhattan + euclidean + maximum",200,0.0222222222222222,0.0166666666666667,0.990956790123457
4,"CSAFE","pLND","pCMB",70,30,"manhattan + euclidean + maximum",200,0.0222222222222222,0.0722222222222222,0.97787037037037
